Afghanistan,29121286,Asia
Aland Islands,26711,Europe
Albania,2986952,Europe
Algeria,34586184,Africa
American Samoa,57881,Oceania
Andorra,84000,Europe
Angola,13068161,Africa
Anguilla,13254,North America
Antarctica,0,Antarctica
Antigua and Barbuda,86754,North America
Argentina,41343201,South America
Armenia,2968000,Asia
Aruba,71566,North America
Australia,21515754,Oceania
Austria,8205000,Europe
Azerbaijan,8303512,Asia
Bahamas,301790,North America
Bahrain,738004,Asia
Bangladesh,156118464,Asia
Barbados,285653,North America
Belarus,9685000,Europe
Belgium,10403000,Europe
Belize,314522,North America
Benin,9056010,Africa
Bermuda,65365,North America
Bhutan,699847,Asia
Bolivia,9947418,South America
Bonaire,18012,North America
Bosnia and Herzegovina,4590000,Europe
Botswana,2029307,Africa
Bouvet Island,0,Antarctica
Brazil,201103330,South America
British Indian Ocean Territory,4000,Asia
British Virgin Islands,21730,North America
Brunei,395027,Asia
Bulgaria,7148785,Europe
Burkina Faso,16241811,Africa
Burundi,9863117,Africa
Cambodia,14453680,Asia
Cameroon,19294149,Africa
Canada,33679000,North America
Cape Verde,508659,Africa
Cayman Islands,44270,North America
Central African Republic,4844927,Africa
Chad,10543464,Africa
Chile,16746491,South America
China,1330044000,Asia
Christmas Island,1500,Asia
Cocos Islands,628,Asia
Colombia,47790000,South America
Comoros,773407,Africa
Cook Islands,21388,Oceania
Costa Rica,4516220,North America
Croatia,4284889,Europe
Cuba,11423000,North America
Curacao,141766,North America
Cyprus,1102677,Europe
Czechia,10476000,Europe
Democratic Republic of the Congo,70916439,Africa
Denmark,5484000,Europe
Djibouti,740528,Africa
Dominica,72813,North America
Dominican Republic,9823821,North America
East Timor,1154625,Oceania
Ecuador,14790608,South America
Egypt,80471869,Africa
El Salvador,6052064,North America
Equatorial Guinea,1014999,Africa
Eritrea,5792984,Africa
Estonia,1291170,Europe
Ethiopia,88013491,Africa
Falkland Islands,2638,South America
Faroe Islands,48228,Europe
Fiji,875983,Oceania
Finland,5244000,Europe
France,64768389,Europe
French Guiana,195506,South America
French Polynesia,270485,Oceania
French Southern Territories,140,Antarctica
Gabon,1545255,Africa
Gambia,1593256,Africa
Georgia,4630000,Asia
Germany,81802257,Europe
Ghana,24339838,Africa
Gibraltar,27884,Europe
Greece,11000000,Europe
Greenland,56375,North America
Grenada,107818,North America
Guadeloupe,443000,North America
Guam,159358,Oceania
Guatemala,13550440,North America
Guernsey,65228,Europe
Guinea,10324025,Africa
Guinea-Bissau,1565126,Africa
Guyana,748486,South America
Haiti,9648924,North America
Heard Island and McDonald Islands,0,Antarctica
Honduras,7989415,North America
Hong Kong,6898686,Asia
Hungary,9982000,Europe
Iceland,308910,Europe
India,1173108018,Asia
Indonesia,242968342,Asia
Iran,76923300,Asia
Iraq,29671605,Asia
Ireland,4622917,Europe
Isle of Man,75049,Europe
Israel,7353985,Asia
Italy,60340328,Europe
Ivory Coast,21058798,Africa
Jamaica,2847232,North America
Japan,127288000,Asia
Jersey,90812,Europe
Jordan,6407085,Asia
Kazakhstan,15340000,Asia
Kenya,40046566,Africa
Kiribati,92533,Oceania
Kosovo,1800000,Europe
Kuwait,2789132,Asia
Kyrgyzstan,5776500,Asia
Laos,6368162,Asia
Latvia,2217969,Europe
Lebanon,4125247,Asia
Lesotho,1919552,Africa
Liberia,3685076,Africa
Libya,6461454,Africa
Liechtenstein,35000,Europe
Lithuania,2944459,Europe
Luxembourg,497538,Europe
Macao,449198,Asia
Macedonia,2062294,Europe
Madagascar,21281844,Africa
Malawi,15447500,Africa
Malaysia,28274729,Asia
Maldives,395650,Asia
Mali,13796354,Africa
Malta,403000,Europe
Marshall Islands,65859,Oceania
Martinique,432900,North America
Mauritania,3205060,Africa
Mauritius,1294104,Africa
Mayotte,159042,Africa
Mexico,112468855,North America
Micronesia,107708,Oceania
Moldova,4324000,Europe
Monaco,32965,Europe
Mongolia,3086918,Asia
Montenegro,666730,Europe
Montserrat,9341,North America
Morocco,33848242,Africa
Mozambique,22061451,Africa
Myanmar,53414374,Asia
Namibia,2128471,Africa
Nauru,10065,Oceania
Nepal,28951852,Asia
Netherlands,16645000,Europe
Netherlands Antilles,300000,North America
New Caledonia,216494,Oceania
New Zealand,4252277,Oceania
Nicaragua,5995928,North America
Niger,15878271,Africa
Nigeria,154000000,Africa
Niue,2166,Oceania
Norfolk Island,1828,Oceania
Northern Mariana Islands,53883,Oceania
North Korea,22912177,Asia
Norway,5009150,Europe
